data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2017-12-24,201752,0.0,0,0,0,0.5,0.0,0,1,290030620175219109,2022-04-27,0.0,0.0,15187.0,24.5714285714286,82.7599571428571,0,0,0,,,,,,,,,,0
2017-12-17,201751,0.0,0,0,0,0.5,0.0,0,1,290030620175119109,2022-04-27,0.0,0.0,15187.0,24.8571428571429,85.8233285714286,0,0,0,,,,,,,,,,0
2017-12-10,201750,0.0,0,0,0,0.5,0.0,0,1,290030620175019109,2022-04-27,0.0,0.0,15187.0,24.2857142857143,89.5748142857143,0,0,0,,,,,,,,,,0
2017-12-03,201749,0.0,0,0,0,0.5,0.0,0,1,290030620174919109,2022-04-27,0.0,0.0,15187.0,25.0,90.3276142857143,0,0,0,,,,,,,,,,0
2017-11-26,201748,0.0,0,0,0,0.5,0.0,0,1,290030620174819109,2022-04-27,0.0,0.0,15187.0,23.8571428571429,87.1284714285714,0,0,0,,,,,,,,,,0
2017-11-19,201747,0.0,0,0,0,0.5,0.0,0,1,290030620174719109,2022-04-27,0.0,0.0,15187.0,23.7142857142857,90.1900714285714,0,0,0,,,,,,,,,,0
2017-11-12,201746,0.0,0,0,0,0.5,0.0,0,1,290030620174619109,2022-04-27,0.0,0.0,15187.0,22.0,91.2904,0,0,0,,,,,,,,,,0
2017-11-05,201745,0.0,0,0,0,0.5,0.0,0,1,290030620174519109,2022-04-27,0.0,0.0,15187.0,,,0,0,0,,,,,,,,,,0
2017-10-29,201744,0.0,0,0,0,0.5,0.0,0,1,290030620174419109,2022-04-27,0.0,0.0,15187.0,,,0,0,0,,,,,,,,,,0
2017-10-22,201743,0.0,0,0,0,0.5,0.0,0,1,290030620174319109,2022-04-27,0.0,0.0,15187.0,,,0,0,0,,,,,,,,,,0
2017-10-15,201742,0.0,0,0,0,0.5,0.0,0,1,290030620174219109,2022-04-27,0.0,0.0,15187.0,,,0,0,0,,,,,,,,,,0
2017-10-08,201741,0.0,0,0,0,0.5,0.0,0,1,290030620174119109,2022-04-27,0.0,0.0,15187.0,,,0,0,0,,,,,,,,,,0
2017-10-01,201740,0.0,0,0,0,0.5,0.0,0,1,290030620174019109,2022-04-27,0.0,0.0,15187.0,,,0,0,0,,,,,,,,,,0
2017-09-24,201739,0.0,0,0,0,0.5,0.0,0,1,290030620173919109,2022-04-27,0.0,0.0,15187.0,,,0,0,0,,,,,,,,,,0
2017-09-17,201738,0.0,0,0,0,0.5,0.0,0,1,290030620173819109,2022-04-27,0.0,0.0,15187.0,,,0,0,0,,,,,,,,,,0
2017-09-10,201737,0.0,0,0,0,0.5,0.0,0,1,290030620173719109,2022-04-27,0.0,0.0,15187.0,,,0,0,0,,,,,,,,,,0
2017-09-03,201736,0.0,0,0,0,0.5,0.0,0,1,290030620173619109,2022-04-27,0.0,0.0,15187.0,22.4,85.6,0,0,0,,,,,,,,,,0
2017-08-27,201735,0.0,0,0,0,0.5,0.0,0,1,290030620173519109,2022-04-27,0.0,0.0,15187.0,23.1428571428571,69.0,0,0,0,,,,,,,,,,0
2017-08-20,201734,0.0,0,0,0,0.5,0.0,0,1,290030620173419109,2022-04-27,0.0,0.0,15187.0,23.8571428571429,78.0,0,0,0,,,,,,,,,,0
2017-08-13,201733,0.0,0,0,0,0.5,0.0,0,1,290030620173319109,2022-04-27,0.0,0.0,15187.0,23.1428571428571,74.2857142857143,0,0,0,,,,,,,,,,0
2017-08-06,201732,0.0,0,0,0,0.5,0.0,0,1,290030620173219109,2022-04-27,0.0,0.0,15187.0,20.8571428571429,81.8571428571429,0,0,0,,,,,,,,,,0
2017-07-30,201731,0.0,0,0,0,0.5,0.0,0,1,290030620173119109,2022-04-27,0.0,0.0,15187.0,19.4285714285714,87.7142857142857,0,0,0,,,,,,,,,,0
2017-07-23,201730,0.0,0,0,0,0.5,0.0,0,1,290030620173019109,2022-04-27,0.0,0.0,15187.0,22.1428571428571,75.2857142857143,0,0,0,,,,,,,,,,0
2017-07-16,201729,0.0,0,0,0,0.5,0.0,0,1,290030620172919109,2022-04-27,0.0,0.0,15187.0,21.2857142857143,83.1428571428571,0,0,0,,,,,,,,,,0
2017-07-09,201728,0.0,0,0,0,0.5,0.0,0,1,290030620172819109,2022-04-27,0.0,0.0,15187.0,21.5714285714286,85.0,0,0,0,,,,,,,,,,0
2017-07-02,201727,0.0,0,0,0,0.5,0.0,0,1,290030620172719109,2022-04-27,0.0,0.0,15187.0,21.7142857142857,77.1428571428571,0,0,0,,,,,,,,,,0
2017-06-25,201726,0.0,0,0,0,0.5,0.0,0,1,290030620172619109,2022-04-27,0.0,0.0,15187.0,21.4285714285714,85.5714285714286,0,0,0,,,,,,,,,,0
2017-06-18,201725,0.0,0,0,0,0.5,0.0,0,1,290030620172519109,2022-04-27,0.0,0.0,15187.0,22.2857142857143,80.8571428571429,0,0,0,,,,,,,,,,0
2017-06-11,201724,0.0,0,0,0,0.5,0.0,0,1,290030620172419109,2022-04-27,0.0,0.0,15187.0,23.7142857142857,77.7142857142857,0,0,0,,,,,,,,,,0
2017-06-04,201723,0.0,0,0,0,0.5,0.0,0,1,290030620172319109,2022-04-27,0.0,0.0,15187.0,22.0,91.5714285714286,0,0,0,,,,,,,,,,0
2017-05-28,201722,0.0,0,0,0,0.5,0.0,0,1,290030620172219109,2022-04-27,0.0,0.0,15187.0,21.7142857142857,94.2857142857143,0,0,0,,,,,,,,,,0
2017-05-21,201721,0.0,0,0,0,0.5,0.0,0,1,290030620172119109,2022-04-27,0.0,0.0,15187.0,23.8571428571429,82.5714285714286,0,0,0,,,,,,,,,,0
2017-05-14,201720,0.0,0,0,0,0.5,0.0,0,1,290030620172019109,2022-04-27,0.0,0.0,15187.0,22.2857142857143,96.5714285714286,0,0,0,,,,,,,,,,0
2017-05-07,201719,0.0,0,0,0,0.5,0.0,0,1,290030620171919109,2022-04-27,0.0,0.0,15187.0,22.7142857142857,89.1428571428571,0,0,0,,,,,,,,,,0
2017-04-30,201718,0.0,0,0,0,0.5,0.0,0,1,290030620171819109,2022-04-27,0.0,0.0,15187.0,24.4285714285714,85.2857142857143,0,0,0,,,,,,,,,,0
