id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
1300904,2020,133412458,3913555,129498903,1800054,5365826,23918697,8221384
1301001,2020,358946623,17562487,341384136,108449085,21386926,79057022,132491104
1301100,2020,36355343,2062827,34292516,51562424,27733514,77784203,185845019
1301159,2020,37414064,5938979,368201661,183762287,12327185,31929473,140182715
1301209,2020,1923312118,98660864,1824651253,100036965,810775217,429819238,484019833
1301308,2020,498998435,8376427,490622008,293233216,15631893,44726891,137030007
1301407,2020,50301134,13652354,489358986,219041706,1858341,6916655,18256732
1301506,2020,178195676,4579369,173616307,37367434,7620292,30418679,98209902
1301605,2020,197082445,7495565,18958688,25947188,10660973,38855498,114123221
1301654,2020,14740352,4496486,142907035,22620606,5812426,26242789,88231214
1301704,2020,780803049,73735231,707067819,159157442,4696273,252378827,248568819
1301803,2020,193678319,6366045,187312274,17665877,6445385,30874674,132326338
1301852,2020,728072479,49664022,678408457,111283982,117166099,182508226,26745015
1301902,2020,2273856275,212216741,2061639534,426988285,170815831,946389209,517446208
1301951,2020,107510734,2534646,104976088,32027123,4957176,17911624,50080164
1302009,2020,134222258,5953862,128268396,38317102,6754539,2744984,55746915
1302108,2020,63133969,2313787,60820183,16146818,3963532,13387515,27322317
1302207,2020,122261253,3373584,11888767,20715375,609597,18307332,73768992
1302306,2020,252835969,8653067,244182902,78773013,11685122,49427574,104297193
1302405,2020,555876457,2255223,533324227,209309403,24174758,96816215,203023851
1302504,2020,1432601632,82883288,1349718344,386707945,130815885,366422851,465771663
1302553,2020,274502224,6031246,268470978,78588101,12771974,30193093,146917809
1302603,2020,91768773491,18798608387,72970165105,16493403,33272165044,2932735982,10205706211
1302702,2020,621351326,32270947,589080378,157638424,4766923,129372755,254399969
1302801,2020,148832667,3581441,145251226,17596701,6740426,19621028,101293071
1302900,2020,566046131,31167268,534878864,73955561,28199257,126714732,306009313
1303007,2020,185702956,7793997,177908959,26332583,7901379,38507352,105167645
